t_index    term   df
d7e2a793   milosov   2
70369a90   milovan   2
eb9b2f61   milroi   3
5cb187ab   milutin   4
41ee8345   milutinov   17
f2e6c411   milwauke   6
05f745a4   min   1
af9b581a   minaret   2
d785cdb7   minc   1
d2d58aa9   mind   43
1c5d8c89   minder   2
9ae118bb   mindset   1
3e1b7047   minefield   1
1fd3ebd3   miner   40
6b0f0e64   minesweep   1
0bf3c9a4   ming   1
6a368603   mingl   5
b64e869c   minh   40
84f9007b   miniatur   1
29d7d968   minim   3
14587f8b   minimum   15
b84ef26e   minist   297
95929b60   ministri   40
b69d6fc2   minivan   1
04030086   minn   4
30f6bd74   minneapoli   2
2a60f884   minner   2
8ddc135a   minnesota   18
07d61d65   minnesotan   1
420e51f9   minor   48
a20e9be5   mint   1
15135ae1   minu   8
be053cd9   minut   140
51477261   mira   4
f77e7468   miracl   12
0ad88d9e   miracul   7
b57e7765   miranda   9
4e2fcc5f   mirco   1
779982c2   miriam   1
21aa9edd   mirjana   9
1c6c84d5   mirko   2
98f3b0c8   miroljub   1
5e447fd4   miroslav   2
5ef84864   miroslava   2
8f5a64c8   mirror   3
696b2121   misappli   2
778fa0cf   miscalcul   1
dd39a237   misconduct   1
ea01651b   misconstru   1
6f8e8f3d   miscu   1
652b5146   misde   2
c0caa754   misdemeanor   12
cc611ec6   miser   4
f867f666   miseri   1
f20537eb   misfir   4
8e993d94   misfortun   1
69ec03f7   misguid   1
423f399a   misha   2
95d3ad88   mishandl   7
e4f2eb62   mishap   1
e3f08148   mishra   1
6fd7e3e5   misinform   2
5e00a682   misl   2
2f4d5cf9   mislead   1
8f1c225d   mismanag   3
7bca61d5   mismatch   4
a1b87a74   misnom   1
f5e66a83   mispronounc   1
3eab6b48   misrepres   1
9d7e18fb   misrepresent   1
b494da86   misri   2
63a89880   missil   72
ebfa93a2   mission   79
5f4ba122   missionari   3
d7054915   mississippi   14
c198e05b   missouri   148
0eab4328   missourian   7
171c3c93   misspel   1
6ab963bb   misstat   4
1fee43ed   misstep   2
a1fc9c11   mistak   38
35bd43b7   mistaken   3
dd81890c   mistreat   6
c4d46da2   mistress   6
b14ca0a1   mistrust   1
5cfda582   misunderstand   5
aab3aa5a   misunderstood   4
68e78ed2   misus   2
59945845   mitch   6
e8b6848c   mitchel   16
6582a944   mitic   2
b9f4ad57   mitig   5
993ed9a5   mitra   1
47047102   mitrovica   1
7c610e2d   mittman   1
c761d2f2   mix   26
0047acb3   mixtur   3
4f7ba182   mladic   2
d0d9b242   mladjan   3
e5193217   mo   14
64cb5b36   moammar   1
3ed5543f   moan   1
c7d39f74   mob   30
667850a5   mobil   18
5a206388   mock   5
4bd08b6f   mockeri   1
2afe2283   mode   4
8ff1ef6e   model   13
f58a701e   moder   31
aca8c921   modern   24
d6644b90   modest   7
37945c63   modifi   7
207bd920   mofrt   1
159fd77c   mogul   5
b51bad26   moham   29
fb444153   mohammad   1
6971466a   mohm   1
a8ba119a   mohsen   4
6c961cb5   moin   1
c51e8470   molass   1
cfa0ab0d   mold   1
78bd6a09   mole   1
dcfca169   molest   1
528a5ccc   molotov   1
7a6ed04c   mom   5
afff8809   momcilo   1
5f5ee8b8   moment   152
b344682f   moments   1
f4076101   momentum   14
b12001de   momir   5
09117ffc   mommi   1
ab559cba   mona   2
0d4b63dc   monarch   1
5eab4778   monarchi   3
f8919afc   monasteri   2
3d201c19   mondai   375
d2a75e74   monei   176
415306a1   monetari   13
19181aa0   mong   1
0ce40b39   monger   2
29299997   monica   37
99812f78   moniqu   1
4857ad8d   monitor   15
f2fabf3a   monopol   1
d4cca4f7   monoxid   2
76a11bdd   monsignor   1
b0e548e1   mont   1
cddeb0ab   montana   11
7490e52b   montecino   11
d452ae30   montelo   1
fd256833   montenegrin   17
6cf5d3dc   montenegro   44
d7bdf1dc   montesino   248
f1f1669c   montesseno   2
a7045343   montgomeri   2
aae0d7b2   month   382
c5655722   monthli   1
b71346c4   monthlong   1
12be4032   monticello   1
5c84c333   montonegro   1
edf1289d   montono   1
8af5b661   montoursvil   1
0464c455   monument   4
14555245   moo   1
1cff407f   mood   23
c7e7af1f   moolgd   1
ca29ca50   moon   1
15a6218d   moonei   1
d417258d   mooni   1
de69d729   moor   77
bf8a2748   moorin   1
6c245133   moot   1
904457d6   mope   1
44f39232   moral   48
2d64d870   morali   1
7a41ca69   morariu   6
1c7ad164   moratorium   6
8c05cecd   moreno   11
2fef0f71   moreov   2
f78d5832   moresmo   1
1d7c3977   morgan   1
9d679cb9   morgu   10
fb41a943   mori   5
40da7413   morison   3
957a2b4a   mork   1
fe11ee5d   morn   185
49118ee5   moroccan   3
a009bc05   morocco   8
7d695229   moros   1
57dfdee3   morph   1
92901eb5   morrano   1
ef5ced47   morri   2
e5940367   morrisvil   2
8a7a5861   mortal   2
f001c711   mortar   4
9446bd20   mortem   2
10bd4407   morton   6
3d8370ad   moscow   176
afefc34d   mosqu   20
3a4b5137   mosquito   1
104a369e   mossad   2
712885b7   mostli   47
f2ebd55f   motahar   1
ff396573   motel   15
eae3bea2   moth   1
d15a2180   mother   105
7b56fe89   motherland   1
2657eed1   motherless   1
1f6b5ed2   motion   11
a25692df   motiv   24
dcf819e0   motlei   1
d89f4029   motor   46
f30d5208   motorbik   1
9b5f8dbb   motorcad   13
9512f417   motorcycl   8
c1bc4b4a   motorist   1
c609fbba   motsak   13
e9456ebc   motto   2
416416ac   mound   12
31bf07e0   mount   47
389d348f   mountain   54
7537cd22   mountainsid   7
ea62059d   mountaintop   1
7f4ba15c   mourn   22
09d94cc0   mourner   16
06b11583   mourton   1
6bb9f1a3   mouth   4
4d5f8b1d   mouthpiec   3
ffcb17b9   movement   45
8b1b4b00   mover   6
52608d06   movi   12
dc634b2f   mow   2
c2b0029d   moya   14
ee2be711   moynihan   6
c8108ca1   moyo   1
c81e0b66   mozambiqu   2
2aa3c3f6   mph   16
2acdf874   mra   3
a2f3e7f2   mrclinton   1
d2f6101e   msnbc   7
f9f978c3   mtv   1
59cc9e49   mubarak   23
3bd8f254   mud   32
48c6d719   muddi   5
23ad120e   muddl   3
0f3ce515   mudslid   6
79e46fd7   mueller   11
8bacbc4f   muezzin   1
226a51ad   muffl   3
d518c8a7   mugab   8
5be78e52   muhajiroun   3
c5864994   muham   1
f318a458   muhammad   10
e02f5e98   mujahedeen   1
f38229ce   mujahedin   1
f6c08eaa   mujahid   1
31b85d3b   mull   3
7bb723ff   mullah   2
fe691f42   mulligan   1
9bb9ed6f   mullin   9
c202ac6e   mulshankar   8
63394307   multi   1
2c4f0dd2   multifacet   2
21e65854   multilingu   1
2f99714f   multimillion   2
6ca86322   multimillionair   3
d315a27c   multin   4
226ef740   multiparti   2
dc2f3c20   multipl   14
331c979b   multipli   1
d1304f3c   multistori   8
613138e5   multitud   2
34283b76   mum   2
51bf992d   mumbai   1
43956784   munchak   1
28b67a57   mundan   2
361f71e5   munich   1
62e72920   municip   17
fa050a74   munit   3
b49624c6   muprhi   1
3f0c730d   muqbel   12
392e4819   murder   78
e21e90d2   murdoch   2
d38fd55a   murk   1
02d809bd   murki   4
56be726f   murmansk   5
95a105ea   murmosk   1
6447634f   murousi   1
63e78f79   murphi   43
e33c6f22   murrai   7
dbbd46e8   murtza   1
9a9db888   musawah   4
bc5c5c21   muscl   4
7aee76d1   muscular   1
05ee42b4   muse   1
d7e5f2a0   museum   9
bb3e3680   musharraf   4
5c3ca933   music   18
9631d94a   musician   3
80d4d270   muslim   114
e6db9f66   mustach   2
fe7cafd8   muster   1
bb82400f   mustn   4
7f908d83   mute   9
74c6ed0e   mutil   2
1afd6f07   mutin   1
d63c214e   mutini   11
93077613   muttawakil   1
95822dc4   mutter   1
c1744ef0   mutual   1
811734ca   myakka   2
459fbc9f   myasthenia   1
37a2b215   mydan   1
e197341a   myer   7
a1fe5086   myong   2
a2709412   mysteri   17
41b9c510   mystiqu   1
88c0e7bb   myth   5
78bca136   mythic   1
e7448c16   naacp   1
bada6819   nab   2
272c4247   nabil   1
a9dd9b95   nachtig   7
c0e4b7e7   nacion   1
ca116527   nadejda   1
b4de62fc   nader   41
bea4f1e1   naderi   6
e6415c72   nadia   1
799928ae   nadler   2
1e1852a5   nadu   1
4750948e   nagel   1
b26c61b9   nagl   1
765b6038   nagyova   3
5dd98640   nahdi   1
db112332   nai   1
4690ffd6   nail   3
3f45ec4d   naina   5
9aaab195   nainabehn   1
8f6d8721   nairobi   7
e36502a0   nairri   1
e09d64b5   naiv   1
fea4d1b3   naji   2
14afdad6   najjar   1
46fec454   nake   2
07672721   nam   4
6088d16c   namast   1
7f6705e7   nambiar   1
2d47a185   namesak   1
2ba8ead8   namrata   8
354c9a73   nanci   5
12efef6e   nanni   1
d764c9e3   nanuet   2
444ba16e   naoya   1
a43afb5c   nap   2
6b7f3dda   narayan   2
707f2abf   narayanan   2
f175163d   narbheram   1
446321a2   narcot   16
ae6c924e   narr   1
6a2130b3   narrow   35
65d260ea   narrowli   9
db50d9dd   nasa   1
f9291c03   nasdaq   1
ca41b33e   nashvil   11
aa338f2b   nasir   1
72ad8b9c   nasr   1
342c0767   nassou   2
8f1bf141   nasti   1
3a4a0fe5   nastier   1
f61be4c1   natalia   1
aededfc8   nath   1
19c31ecc   nati   1
0837210c   nation   687
2c196cc7   nationalcop   1
2eab2106   nationalist   23
dec859a2   nationwid   23
e302803d   nativ   19
ab8e98d6   nato   102
f7f0d0c2   natop   1
a2b1f262   natta   1
9218734a   natter   25
d78db9f1   natur   50
78bf4826   nauf   1
2b86022d   navajo   7
1915e2d7   naval   140
2eb41e90   navarro   1
03215003   navasota   1
ebfae28c   navcent   2
b034c692   navel   1
165dec6c   navi   630
2a9de176   navig   2
63eff608   navnirman   1
9ca68f80   navpalib   4
3399375a   navrotski   20
56cb6ef3   navstanorva   1
8412fbab   navymen   2
ed3f80a3   nazi   3
de98426f   nbc   140
578d924e   nd   12
e090534a   ne   1
cadd0f51   nea   1
79e54d69   nearbi   74
33652ebe   nearest   1
8d19d306   nearli   140
c057cc31   neat   4
9ff20002   neatli   1
13fb4c5c   neb   1
093d459b   nebojsa   15
a9781d4a   nebraska   5
2c15056c   necess   2
dcc127ff   necessari   31
a757aad6   necessarili   10
a77b2c99   necessit   3
02af60e5   neck   15
a1b6ca46   ned   2
fbef0c34   needi   1
66cb871b   neediest   1
9084c923   needl   1
774d506f   neeman   1
7890894b   neg   12
230b5cdd   negat   1
cc6380d2   neglect   2
747a137a   neglig   4
c317d049   negoti   97
a954ad69   neighbor   98
83244cd9   neighborhood   90
b29d5272   neighborli   5
5a229dd1   neil   2
e61126a0   neill   5
166459b1   nelli   1
64f4d532   nelson   12
5ce49b36   nemesi   4
91879505   nemeth   3
f3da9fd7   nena   1
ec18509e   nenad   30
edb82044   nenadov   1
2fac9bc4   nene   2
c07d816d   neo   7
0eb2c4af   nepal   8
2ba29a15   nephew   5
3f6ffb38   neruda   3
6ea8f45a   nerv   5
9b2b249d   nervou   12
385dfb6c   nervous   4
1b94bfc9   nese   1
d902289f   ness   2
dc526f81   nest   2
d16ddb0a   net   107
2be10c62   netherland   15
a4c3ae5f   network   81
5130dc1f   neutral   4
5659e65e   nevada   9
5b6a48af   nevypolneniy   1
82318658   newark   1
0a5e49ca   newburi   39
a15c4780   newcomb   1
48af749f   newer   1
8f24a3f9   newest   6
539bdc95   newfound   1
d73d7fa0   newli   35
b41747d1   newlyw   2
95f365ec   newport   2
70230cda   news   532
763c35a1   newscast   8
7196f074   newslett   4
1adc0f7a   newsmagazin   2
91f3ad8d   newsnow   1
3a18e8eb   newspap   70
dfd6bf31   newsroom   1
94ef0a3e   newsstand   1
b4ad6fac   newsweek   3
9327296d   newswir   1
ca042912   nfl   1
8eabd143   ng   4
c543fdf1   nga   4
6803e651   ngan   1
cfe373cd   ngo   4
4f79b50f   ngoc   2
5600e002   nguessan   2
0bf49255   nguyen   7
c520285a   nhan   1
75ce2713   nhema   1
840b5f7f   ni   13
5f84e197   nic   2
ba5d5a3a   nicaragua   3
2cd949d0   nice   10
75e24c59   niceti   1
ff5f84e1   nich   1
6f4246d0   nichola   2
2679c7ec   nick   7
c5649099   nicknam   5
5f3435ad   nicodem   2
0ca7a65a   nicol   3
baea29e8   nicola   10
6d1c3330   nidal   1
382b192f   niec   3
94636e6a   nielsen   1
ebadd41e   nien   2
55edc4bb   nieto   1
f2dd082b   nigeria   14
57a9699a   nigerian   1
a25d1200   night   303
d955b5ce   nightclub   3
0ae797f8   nighter   1
4036da70   nightfal   3
3ee9d725   nightgown   2
95759cc7   nightli   2
8bdce90c   nightmar   6
3048429e   nightmarish   1
dbf968e0   nighttim   6
5a4aacdb   nikit   1
34c36354   nikol   3
b072c311   nikola   3
ffb7519b   niksic   2
6e7d4753   nimesh   1
8c022ca6   nin   2
d70c38de   nina   5
cdac3e00   nineti   1
ddacb6e2   nino   1
e12c2fa9   ninth   37
f679b3d6   nip   2
767217b0   nirmala   1
d7c72a2e   nissan   3
18588837   nitex   2
9d98eb50   nitrat   1
10c410bd   nitti   1
a3c50242   nixon   19
36a7a416   nizali   1
b1fb618d   nleomf   1
815b1861   nn   1
ed034a24   nobl   3
41fdc3ae   nobleman   1
7e92ea2a   nobodi   39
fc6b706c   nod   2
2fedbd5d   noi   1
a179b7a8   nois   8
656cc55f   noisi   1
e7279bf7   nolan   4
608b43f6   noman   1
32c80b7c   nomin   30
3459e7d4   nomine   22
2abdfa43   non   23
0d7cad80   nonchalantli   1
31b54b3b   noncommiss   1
27a5b847   nonessenti   3
571afb69   nonexist   5
a0af38f4   nongovern   2
7b6c3989   nonneman   2
818d6d15   nonpartisan   6
487b1754   nonpolit   2
58faf0f3   nonprofit   3
97ca3a24   nonsens   2
9c6c4b4a   nonspecif   1
4dc3a89b   nonstat   1
654932e7   nonstop   4
106d422b   nonviol   14
39c9d0d8   nonword   1
a49bbd30   noon   13
93e5a0d6   noparolepelti   2
0f2d81fa   norah   1
fe2ee656   norfolk   94
4985da30   norm   3
cd6db75e   normal   91
737e1792   normalci   1
a3563557   norman   24
6956ed7d   north   109
7989b619   northeast   10
8ace8835   northeastern   6
3cd0b4ef   northern   86
9d65b937   northup   4
af96b0cc   northward   1
1f3eda55   northwest   20
84dcf421   northwestern   3
98aa3c2a   norton   2
e0f38c59   norwai   15
a239397d   norwegian   56
2da9cbc4   nose   4
199e6e1e   nostalgia   2
e68014e5   notabl   10
1258a05e   notch   4
1748fe2d   notebook   2
8451c9c2   noth   105
2e4e515f   notic   19
45259448   notif   1
1cae30b9   notifi   23
977c26ff   notion   4
b4ff96e8   notori   6
0dd1b264   notorieti   1
225c52a1   notr   2
917251ee   notwithstand   2
e28be329   nov   43
66c8c3ab   novel   3
06da1b8d   novelist   2
018765df   novemb   37
3cd2fa66   novi   5
2017e05c   novic   1
124b49fb   novost   1
bb5223d4   novosti   3
633dc63b   nowadai   1
37ff2ecd   nowher   8
055b3197   npr   14
e9a0aacb   ntsb   5
cf7b4ac1   nuanc   1
c5f941fe   nuclear   63
02b9abf3   nude   1
6c8229fa   nudg   3
190160bc   nuffer   1
5f0a2a5b   null   1
986d791d   nullifi   9
896bbdb5   numb   1
61999f22   number   183
ad779e78   numer   21
64fb1179   nun   1
2203e4e0   nuria   3
750bbb50   nurs   9
d26aeb39   nurtur   2
bbbd4d28   nuvajubhai   2
fe70c00f   nw   1
f4d04e33   ny   7
5ba72454   nytim   1
e0274e8b   oa   2
f3706cc6   oakland   1
d427bc27   oasi   2
1944b214   oath   19
edd617f9   oaxa   1
1d768361   obedi   2
e8f652d0   obei   9
8f95dd44   obituari   1
ebfa5fa7   object   41
8fbd654f   oblig   13
b85075da   obliqu   1
75c66b05   obliter   2
5e9ff2df   obrad   1
1d7860a8   obradov   3
fd76deae   obrenovac   1
e78c52f7   obscen   2
e0571e9e   obscur   6
54b406be   observ   54
d834df3a   observatori   1
e31eda7b   obsess   2
4795ac1c   obstacl   15
3caf97fc   obstinaci   1
e3ad72a4   obstruct   3
b1408eb3   obstructionist   1
2faa5e17   obviou   13
00dffc50   obvious   55
45466f05   obyazatelstv   1
6bea9b4d   occas   19
790ef8d3   occasion   14
0876ad15   occup   11
c8ce39c9   occupi   16
664d2f1c   occur   80
da5c9434   ocean   13
30673a6b   ochoa   3
f07ed5ee   oct   128
bd5f5472   octob   85
52a84c4b   octopu   3
5ca25731   odci   4
fadb0b95   odd   10
4d0040d0   odeh   1
f6e88779   odium   1
fa969548   odlon   2
22c7c316   odolon   2
3585974d   offenc   1
30d5d053   offend   18
455e8601   offens   20
5c1e5caa   offer   165
60bae02d   offic   659
e026cf76   offici   1352
66c3b2ca   offshoot   1
f0654b36   offshor   11
46921e23   ofici   1
a5d82cdb   ofussia   1
76b8afc8   ogen   1
4dc3d03f   ognjen   1
efd787a9   oh   17
97e4cc08   ohio   10
71627616   oht   2
60c531b0   oik   1
659576ae   oil   57
0b454042   oiler   2
500536bb   oilfield   1
d7e5af84   oili   4
e0f2cb10   ojdan   8
fe1f6b9a   okai   10
57e239db   okaz   1
615116a1   okla   2
50f3beca   oklahoma   21
80f26470   oklia   1
95b70095   olden   2
81f71dec   older   16
b1d60c7d   oldest   10
c8d9cae6   oleg   2
750abe5c   olga   3
f47d7661   oliv   5
4bb48ac7   oliva   2
5e51c087   olivera   8
411404fb   olivo   1
ad017b71   oloroc   1
7038818d   olsen   9
2de53ba7   olson   1
6e3d227a   olymp   21
ec095999   olympia   3
4701017f   olympian   1
5be9799a   omah   2
e9a4ff80   oman   4
fde4e2f9   omar   9
5b73d62d   ombudsman   4
4085dbc5   omen   3
c9346c71   omeri   3
bbe7b70a   omin   2
972e49c9   omiss   2
1dea2c69   omit   2
94c4e226   omnivor   1
0e6a148b   onal   1
56125ae9   onboard   4
a256f6a1   onc   168
da8a1a7b   onetim   2
7e20f2b2   ong   1
71f38163   ongo   15
5cdded1e   onkar   2
42a2a481   onli   544
8f99b3e8   onlin   1
b223ebb0   onlook   9
f47f6c9d   onsit   1
9b179083   onslaught   1
0efbe3fe   onw   1
d62e1fe1   onward   1
27e19ec3   op   1
40b1e3e1   opec   2
93372ed0   open   547
a6ac089f   openli   18
877733a9   oper   296
6aba02f9   opera   2
764c8ceb   operat   1
4d2353b6   opinion   28
08e959d7   oppon   92
8cb93e7f   opportun   37
abb485aa   oppos   49
3b90bb77   opposit   605
30ba6f8c   opt   6
61622004   optic   2
6bc2ae38   optim   4
e48bb420   optimist   12
f153d6dd   option   70
ee97fdc9   opul   4
c6b39136   opusa   1
b3fcffb1   oracl   1
5a74399f   oral   1
f594c187   orang   11
4d79c9a1   orano   1
924220f5   orat   2
e820be64   oratori   1
afe235f3   orbit   1
a71f74bf   orchard   1
908ad3c4   orchestr   4
d66acb53   ordain   1
f6a063d7   ordeal   5
f4260c22   order   188
c6a6044c   orderli   6
1b047d94   ordin   1
d8db2cc9   ordinari   19
82f90245   ordnanc   12
d5a4a36e   oregon   13
1765490c   oreman   1
96d9cf6d   org   36
c0b25c1c   organ   163
dc41a429   organiz   2
97a02a6d   orgi   1
aee58f59   orient   7
7ccf6a0e   origin   50
e34e2616   orissa   1
71fdfbf5   orlando   4
92030b27   orlean   1
9d807f5d   orphan   1
7927248d   orrin   2
3f249d2c   ort   1
20b46cf4   ortega   6
fe95194f   ortel   1
bd0c43a9   orthodox   28
98eb0ce0   orthoped   2
c761e2d6   ortiz   5
231cc133   osama   101
7fda4ebe   oscar   7
782177ec   oshima   4
224c361c   oshman   7
4c72cf79   oskinoff   2
235dd78e   oslo   2
fa63ef5f   osprei   2
056e3c9b   osseo   1
bf457b21   ostentati   1
8c2ce383   osteochondrosi   1
630288d0   ostrichlik   1
563cd85a   otherwis   23
19e5b1d2   otpor   3
f62fa0c5   ottoman   6
4c7bef69   ouattara   172
e6078e66   oui   1
507d4fa1   ould   1
ed1926da   ouof   1
6c66c467   ourselv   13
1b008840   oust   58
0e66ffee   ouster   9
daa756e0   outboard   5
a00fa713   outbreak   6
ff1d59d3   outburst   3
90386349   outclass   1
10ac18b4   outcom   60
f8e238aa   outcri   1
04ed2752   outdoor   5
ef100423   outer   14
5226ac39   outfit   6
43d32afe   outgo   9
df3bf05b   outgrowth   2
9b7ed284   outgun   1
95054cc3   outlai   1
7e4e6064   outlast   4
ef7ed3b3   outlaw   9
9f79b4fb   outlet   4
70820f1c   outli   1
c2164357   outlin   9
0a205a3d   outliv   1
1b5df58c   outmaneuv   3
35d3c79c   outmod   1
eeedcaeb   outnumb   3
ce956bd3   outplai   1
5e8c3aaf   outpol   16
f8387d1c   outpost   1
ecca2de3   outpour   5
d8fcc8ff   output   2
c5e25ee8   outrag   23
4089dd8e   outrais   1
aed830d1   outreach   1
26bb42d1   outright   23
4292f0ed   outset   4
c92b8d6e   outsid   223
163da814   outskirt   4
f23d82da   outsmart   3
6dceaae0   outspend   1
1d15bbac   outspent   3
3b02e8df   outspoken   4
74303d9b   outstand   2
50ba2d82   outster   1
5bde04ec   outstrip   1
108a53e3   outtara   1
8451f0c1   outvot   1
1553e194   outward   3
67cc299a   outwardli   1
317928f3   outweigh   2
46c65b98   oval   5
8ef042f2   ovat   1
f45f1fd2   overabund   1
27367b33   overal   7
0d644d1f   overbil   1
5f3aaf95   overboard   2
6f961c90   overcam   8
9b6a82ff   overcom   14
a74d696a   overconfid   3
9651efef   overcrowd   1
8bf005a9   overdo   1
2dfd9eca   overdu   1
33aa104e   overec   1
91494ccd   overestim   1
2c51eacf   overextend   4
296b9a7e   overflow   4
b92e241b   overh   1
03bb5112   overhaul   4
1d5e4e66   overhead   19
f8d49be3   overjoi   1
61e80ee6   overlap   1
6bfecb39   overli   2
2e2fcf17   overload   3
676e1e40   overlook   8
2aac7446   overnight   26
fa1a9ae5   overpaid   1
c45afa83   overpow   22
3f05d4dd   overreact   1
c541cf24   overrid   3
9555fadd   overrul   1
fb6e78d4   overrun   2
b9530dee   oversaw   6
34c311a1   overse   32
d2e4befd   oversea   29
e4d19665   overshadow   13
2e41b6ed   oversight   1
f305c1e9   overst   2
febb5825   overstai   1
28b1a40e   overstep   1
ad6e3962   overt   3
38541b92   overtak   2
958af698   overtaken   1
98a33ec1   overthrew   6
c57e84eb   overthrow   10
ce0e404b   overthrown   6
d85ad502   overtim   3
71ccec86   overtli   1
a7c340ea   overton   1
cedbe04e   overtook   1
fdc5b6a9   overtur   2
97596355   overturff   5
d77dff44   overturn   17
c20b6239   overwhelm   27
e8deacbf   overwhelmingli   2
f05a5674   overwrought   1
dfb6480b   overzeal   2
22b1d9dd   ow   13
067025d5   owen   10
a7ea5736   owhali   7
70cde08f   owner   21
3ed874d2   ownership   1
4d883755   oxfam   2
6c6b12c1   oxfamamerica   1
3848e1e5   oxygen   1
7cb25031   oyanguren   1
db819826   pa   24
b25d4de0   pabl   2
5780350a   pac   1
616c9d10   pace   11
e513c519   pacif   37
6bcc132c   pack   36
d23fa09c   packag   4
a6aa4d58   pact   9
ea4af439   paddi   18
8121312e   paddl   1
7158879b   padella   1
bb44642e   padlock   1
e5cdb310   pae   3
c84db955   page   44
84b8e5bb   pageantri   2
ae6ede8e   pager   1
8156bf25   pai   60
8bace63e   paid   35
528aa533   paig   1
5d7a6c11   pain   39
87353c62   painfulli   1
01d7128a   painstak   3
7413071a   painstakingli   3
b7b0ed66   paint   13
72424620   painter   1
493a7168   pair   21
102fb961   pajama   1
5e8cbe9f   pajoli   2
8e8d6450   pakistan   51
d4538123   pakistani   10
7118868f   palac   37
a070e606   palacio   2
0634e592   palanka   3
49511aad   pale   2
3168e9fa   palestin   13
fe2a6c98   palestinian   132
46a1d38f   pall   2
1fd87336   pallbear   1
f1bc128b   palm   5
1323eb63   palmer   14
a4d6b831   paltri   1
770b73aa   pamper   1
994bdbda   pamphlet   3
8406f83b   pan   12
15634c1d   panama   38
1fadc0c2   panamanian   1
ee7e1347   panamericana   1
596341a3   panchal   1
34c7834e   pandya   28
170e267f   paneagua   3
6bdd5cf1   panel   23
928a3b1e   paniagua   113
2d027f06   panic   18
0f2d9d53   panick   8
81093845   pant   1
c211c081   pantap   1
42ea6c7d   panther   1
61ba2564   pantsuit   1
b1751899   paola   3
0e7eff8c   papandr   4
4be15f96   paper   28
a2a10027   paperwork   2
eca273b0   parachut   1
2e0f5d86   parad   31
63de5273   paradigm   1
7546b8c4   paradox   1
18e5a96c   parafinanci   2
23bbdaf1   paraguai   3
4adb3128   parallel   6
99cdb114   paralys   1
963d7836   paralyz   1
83130298   paramed   2
5ad5a719   paramilitari   12
32e2e368   paranoia   3
2ab95e79   paranoiac   1
63803e48   paraphras   1
87e97171   parapleg   2
70a17985   parapolic   2
90a740f1   pardon   401
6dc71a41   parent   71
caadd9e7   pari   9
756c278c   pariah   5
28b19da6   parikh   2
a2bb0d49   parishion   3
a4965bee   park   102
9bc7332e   parlanc   3
bcb8ec41   parlett   1
55764c0f   parliament   183
f98b8171   parliamentari   7
559b0699   parliamentarian   1
bc839886   parlor   1
cfd3dee8   parmar   1
a57a081b   parodi   1
621ecbcf   parol   32
2cef3d34   parth   2
9bf2fc30   parti   511
9f96c0ab   partial   12
b8e63ddf   particip   68
75c7029b   particularli   46
e0166038   partisan   6
423b9e97   partisanship   2
e0dd876a   partit   2
36606680   partli   11
d98b709b   partner   51
83473fdf   partnership   5
2c995793   parvail   1
b9a01111   pasariavich   1
5d3da9fe   pascagoula   6
8e3c761d   pascual   2
a421462f   paso   14
8c1d176b   pasriavach   4
b479d265   pasriavich   1
42a032ec   pasricha   2
b0615b56   pass   91
39befb78   passag   7
d36de765   passagewai   2
142f2461   passeng   5
e3c85398   passion   12
ac3b63ba   passiv   2
a0c8341f   passport   12
a4b32c17   pasta   1
286c32d8   pastim   1
669dc423   pastri   7
0df35173   pastur   1
220b6358   pat   13
7bac766c   pataki   1
57e17017   patch   4
2d28a2e1   patel   20
42ea1c05   patera   1
ff57533d   patern   2
db0fce06   path   18
9b0f7c6b   pathwai   2
acef273b   patienc   6
d9647169   patient   19
29d22c1d   patriarch   1
f643f37f   patricia   8
d0707467   patrick   59
e67446dc   patriot   4
40db7421   patrol   23
2ee0f628   patron   1
6953ad27   patronag   2
cf4fd37f   patt   1
61d69f06   patten   7
8cf3b17b   pattern   13
89192f34   patti   6
d0fab5d7   paubl   1
4e7e1c2b   pauciti   1
dbb8d3c7   paul   28
f780e689   paula   2
4f6deeaf   pauli   2
6582d106   paulin   1
16de8db3   paus   9
8a5037a7   paval   1
0717f197   pave   7
237113e2   pavel   13
760547fa   pavelo   1
6815af25   pavement   4
f0fe62ec   pavkov   14
08e738b5   pavl   1
43dab5b6   payback   1
01036ac6   paycheck   2
d4cb943d   payment   14
4ee13d01   payn   2
ad57013d   payout   1
84455775   payton   1
02a7db2b   pb   3
f1e395eb   pcp   2
9ee92b23   pdci   8
c00d8bad   peac   149
298ea582   peacefulli   26
0a6b19f9   peacekeep   8
8aabb267   peacemak   1
8fcf112b   peacetre   2
37b6c924   peacetreesvietnam   1
b97bb570   peach   1
78e0838b   peak   1
aa57f9a1   pearl   1
07968504   pearland   4
b0d69ae1   peas   3
57947c5a   peasant   4
846dc452   peddl   13
01884932   peddler   2
4e6603f0   pedestrian   3
e86f00aa   pedro   3
ddd63e0d   peduca   1
d1c1a7ce   peek   1
aa0e4067   peeler   1
aeea7fa0   peer   3
5585eed0   pejor   1
c6c583ed   pelev   1
ff5f43f6   pelki   15
9225a8e2   pelt   4
3fbc0e82   peltier   59
cb6767fb   pelvi   1
2d27dc7e   pen   4
860b8e19   pena   2
c7b08dc8   penal   7
71dc30e4   penalti   29
e21ee04a   pencil   1
ed604b0e   pend   13
beb68833   penetr   7
34460803   peng   2
1df25e14   peninsula   52
153ff314   penitentiari   3
3bb6c121   penn   3
366d9571   pennsylvania   35
