t_index    term   df
ca7c32f0   applic   37
300d8184   appoint   102
854b92f1   appointe   3
6c24aa0d   apprais   3
8b46e943   appreci   18
fe94ee4c   apprehend   8
8b1fb81e   apprehens   2
aabadbb9   apprentic   4
e0e0bfab   appris   1
4a822287   approach   67
c5a1f95d   appropri   20
2d34ac59   approv   28
b334caa8   approxim   12
517fbbcb   april   87
e5a5b5a7   aprista   4
99fbef27   apron   1
73a2dd12   aquil   2
bd2682a5   ar   15
8628b29a   arab   135
9b1d2487   arabi   3
80b0c54a   arabia   126
770060ff   arabian   59
d5f13b9c   arafat   33
8bc2c51f   arantxa   3
dac53d1d   arazi   8
f8b9a613   arbadi   1
30a93200   arbit   1
2d85a150   arbitrari   2
6d2979fe   arbitrarili   1
6020dd74   arc   1
5f60ca15   arch   2
983746bc   archaeolog   2
50641cd7   archbishop   5
3d3a9575   archer   3
5f3dd05d   archeri   4
795fa6dc   archetyp   1
c8992fae   archi   6
d7c10a16   archibald   1
ecdc05d7   architect   7
d1a68adf   architectur   5
558004e6   arctic   6
c6ef4d83   ardent   4
ddfb1f48   arduou   1
f62fd5d2   area   304
c4202269   arena   25
9b769334   aretz   1
9c434561   argentin   1
4bdcb4f4   argentina   10
551c322d   argu   52
a39fb4d3   arguabl   2
d5e8e6ca   argument   22
b6f6575b   ari   1
66267c0a   arid   5
081dfe03   arif   1
3b935e58   arisen   1
8365a556   arithmet   1
e2978a5c   aritomi   4
1c5de37a   ariz   9
5fd96c31   arizona   7
d8cdd552   ark   10
0828bb63   arkadelphia   1
7b2ffce6   arkan   1
318503c1   arkansa   48
296cb46c   arkin   2
00efa234   arleigh   3
4749d3a6   arlen   2
c110548b   arlington   9
6a805348   arm   182
6a14d086   armament   2
2f19384b   armbrist   4
c5b54cb9   armei   1
e3c3f335   armenia   2
1c81957e   armi   202
4aecdc30   armitag   1
8978acf4   armor   17
06745f09   armori   3
b3a61045   arn   5
ebb13c65   arnaud   18
cfde7e0c   arni   1
7d93f816   arno   1
5c272a27   arnold   3
b2c043ec   arnot   1
b512fcbd   aros   5
7e7a37c9   arous   1
b17f2cea   arrai   6
24ab0422   arraign   2
0ce986f2   arrang   43
23d6b713   arrear   1
8d9e92b9   arrest   185
2e5a3a14   arriv   265
4f233cb9   arrog   5
3ff82df5   arrow   4
9aa297b0   arsen   10
ad610715   arseni   1
6c8dd224   arsonist   1
15ab8b26   art   11
4b2dd7d5   artfulli   1
655ef1a6   arthriti   1
e672528e   arthur   4
ae81920a   articl   8
f37c55dd   articul   1
bc849a30   artifact   1
27bd8343   artifici   4
752cda70   artist   5
59c73324   artudo   1
ece3b4d1   arturo   6
4f8ac4bb   aruba   2
e0713c4a   aryapov   1
d2da46af   asa   1
715af371   asahi   1
50add39a   ascend   2
7d111baf   ascrib   4
e63a8730   asean   1
dd2a8f8d   ash   5
9c66bb35   asham   1
5fbe55b9   ashcroft   200
